branch_code,branch_name,city,latitude,longitude,model_code,model_name,quantity,reserved
BLR-MTR-IND,Metro Honda Indiranagar,Bengaluru,12.9716,77.6413,ACT6G,Activa 6G Deluxe,28,4
BLR-MTR-IND,Metro Honda Indiranagar,Bengaluru,12.9716,77.6413,CB350HN,CB350 Hness DLX,9,1
BLR-MTR-IND,Metro Honda Indiranagar,Bengaluru,12.9716,77.6413,NX500,NX500 Adventure,0,0
BLR-WHT-MAL,Whitefield Honda Hub,Bengaluru,12.9698,77.7500,DIO125,Dio 125 Premium,22,3
BLR-WHT-MAL,Whitefield Honda Hub,Bengaluru,12.9698,77.7500,HORNET2,Hornet 2.0 Repsol,12,2
BLR-WHT-MAL,Whitefield Honda Hub,Bengaluru,12.9698,77.7500,REBEL1100,Rebel 1100 Tour,0,0
BLR-ELC-JPN,JP Nagar Metro Honda,Bengaluru,12.9395,77.5830,ACT6G,Activa 6G Deluxe,16,2
BLR-ELC-JPN,JP Nagar Metro Honda,Bengaluru,12.9395,77.5830,DIO125,Dio 125 Premium,0,0
BLR-ELC-JPN,JP Nagar Metro Honda,Bengaluru,12.9395,77.5830,CB350HN,CB350 Hness DLX,5,0
CHN-ANK-ADY,Ankitha Honda Adyar,Chennai,13.0063,80.2570,ACT6G,Activa 6G Deluxe,18,1
CHN-ANK-ADY,Ankitha Honda Adyar,Chennai,13.0063,80.2570,HORNET2,Hornet 2.0 Repsol,7,1
CHN-ANK-ADY,Ankitha Honda Adyar,Chennai,13.0063,80.2570,NX500,NX500 Adventure,2,0
CHN-OMR-SHL,OMR Honda Sholinganallur,Chennai,12.9249,80.1026,DIO125,Dio 125 Premium,24,2
CHN-OMR-SHL,OMR Honda Sholinganallur,Chennai,12.9249,80.1026,CB350HN,CB350 Hness DLX,6,1
CHN-OMR-SHL,OMR Honda Sholinganallur,Chennai,12.9249,80.1026,REBEL1100,Rebel 1100 Tour,1,0
HYD-GAC-BNJ,Gachibowli Honda,Hyderabad,17.4435,78.3772,ACT6G,Activa 6G Deluxe,30,5
HYD-GAC-BNJ,Gachibowli Honda,Hyderabad,17.4435,78.3772,HORNET2,Hornet 2.0 Repsol,11,1
HYD-GAC-BNJ,Gachibowli Honda,Hyderabad,17.4435,78.3772,NX500,NX500 Adventure,3,0
HYD-KPH-MET,KPHB Metro Honda,Hyderabad,17.4937,78.3990,DIO125,Dio 125 Premium,19,2
HYD-KPH-MET,KPHB Metro Honda,Hyderabad,17.4937,78.3990,CB350HN,CB350 Hness DLX,4,0
HYD-KPH-MET,KPHB Metro Honda,Hyderabad,17.4937,78.3990,REBEL1100,Rebel 1100 Tour,0,0
MUM-AND-LNK,Andheri Link Road Honda,Mumbai,19.1320,72.8468,ACT6G,Activa 6G Deluxe,26,4
MUM-AND-LNK,Andheri Link Road Honda,Mumbai,19.1320,72.8468,DIO125,Dio 125 Premium,15,1
MUM-AND-LNK,Andheri Link Road Honda,Mumbai,19.1320,72.8468,NX500,NX500 Adventure,2,0
MUM-NER-TUR,Nerul Turbhe Honda,Navi Mumbai,19.0330,73.0197,ACT6G,Activa 6G Deluxe,17,3
MUM-NER-TUR,Nerul Turbhe Honda,Navi Mumbai,19.0330,73.0197,HORNET2,Hornet 2.0 Repsol,6,1
MUM-NER-TUR,Nerul Turbhe Honda,Navi Mumbai,19.0330,73.0197,REBEL1100,Rebel 1100 Tour,0,0
PUN-HIN-WKD,Hinjewadi Wakad Honda,Pune,18.5906,73.7381,DIO125,Dio 125 Premium,21,2
PUN-HIN-WKD,Hinjewadi Wakad Honda,Pune,18.5906,73.7381,CB350HN,CB350 Hness DLX,8,1
PUN-HIN-WKD,Hinjewadi Wakad Honda,Pune,18.5906,73.7381,NX500,NX500 Adventure,1,0
PUN-KAL-EON,Kalyani Nagar Honda,Pune,18.5204,73.8645,ACT6G,Activa 6G Deluxe,24,4
